Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Demand_Supply_Ratio,Demand_Supply_Difference,Cost_per_Minute,Possible_Surge_Condition
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312250814,4.294117647058823,56,3.7336854777945967,True
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.40676830595487,2.0,18,3.754421394629944,False
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.15212964816465,5.6,46,3.3589362144036587,True
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599938912294,1.1975308641975309,16,4.246079951129835,False
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.85016419959805,7.0,54,2.9087359289132415,True
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595074862448,2.3636363636363638,45,3.068616443846938,False
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626071891,2.9,19,3.3402303583207593,False
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742414517,2.212121212121212,40,3.1979948710649175,False
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.13235495172165,3.2413793103448274,65,3.761795364080434,False
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462184758,1.9285714285714286,26,2.508202019432737,False
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113101238,11.166666666666666,61,3.419706596017267,True
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706123274,2.875,15,4.45207410779767,False
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.07579104191225,5.0,56,3.454260208337967,True
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.13746358777752,2.0,10,2.9251917475042695,False
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021028701461,1.130952380952381,11,4.6634116327691615,False
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449474928,2.6875,27,3.8743994806367246,False
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711291002,1.7636363636363637,42,3.8999724741940014,False
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.62262644973293,1.6,12,4.435626859554896,False
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.5870840445325,3.8,70,3.23114909409791,True
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.11810461931896,3.1333333333333333,32,3.068742748531674,False
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745626508575,2.272727272727273,14,2.6295166239452925,False
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.44325079724317,1.6818181818181819,15,3.0933804463368575,False
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.79438015283176,1.5128205128205128,20,3.0183100015595077,False
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698091748401,2.1,22,5.002407212925521,False
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264188845,4.818181818181818,42,3.666896622455364,True
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291344428,1.234375,15,4.065164811795383,False
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339145253,2.5652173913043477,36,4.9400619111486295,False
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.9860100296204,1.3793103448275863,11,4.2516055104055805,False
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520851587072,1.9,36,3.4298288755668116,False
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593915947267,1.5769230769230769,15,3.773724210619685,False
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.5887110300315,5.928571428571429,69,4.618573609844242,True
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.33854512223814,2.588235294117647,27,3.605495358390185,False
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429041832141,1.2465753424657535,18,4.150286027888094,False
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899337195,3.375,38,3.971172984085366,False
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671016029,1.5945945945945945,22,3.580297548437925,False
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.258155352454,1.6744186046511629,29,3.358016328427682,False
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.05527443495566,5.222222222222222,38,2.7609924420307883,True
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.43438547917532,1.4545454545454546,10,3.6905730913195884,False
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288248255,3.4615384615384617,32,3.510989543078799,False
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.58040412487964,1.6,27,3.789510103121991,False
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046053331,3.7333333333333334,41,4.025576982119655,False
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515260551269,1.9090909090909092,20,4.465262512867401,False
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.97356882411634,3.7142857142857144,38,4.34666906963384,False
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.0531279855558,3.5217391304347827,58,2.5108610348640266,False
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.34417984860374,3.08,52,5.0066188432423795,False
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.30170917475425,4.5,21,3.724438478776212,True
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.49212153190336,2.176470588235294,40,3.2463722966564528,False
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.11502370436019,1.3333333333333333,23,2.5063902057977883,False
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621142931812,2.264705882352941,43,4.659627381107941,False
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577542620492,11.0,60,3.8479500947122043,True
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.240499627505,1.9743589743589745,38,3.5463502971706884,False
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104185831,2.1875,19,3.3567062868901156,False
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.71117031918743,1.263157894736842,10,4.508889628989843,False
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.49261837786295,3.388888888888889,43,3.508493420307982,False
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451307734787,3.380952380952381,50,4.393215323599038,False
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.46644254307614,13.571428571428571,88,2.9838572899271174,True
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.14534513079855,1.7272727272727273,32,4.144241382198081,False
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681264991488,2.4615384615384617,19,4.395949528840697,False
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608868741742,1.6333333333333333,19,4.096499265416716,False
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568747653598,2.235294117647059,21,3.9576585127924626,False
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.35700254441711,2.6285714285714286,57,2.5634889454314913,False
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951423794,1.3793103448275863,11,2.658222994357759,False
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.03832988580584,1.3095238095238095,13,3.4675184419067966,False
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.26295506529306,1.7058823529411764,24,3.8264347714907867,False
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369764527329,6.8,29,3.7002432661364004,True
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024750869831,1.4893617021276595,23,4.090612737490247,False
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.09069016935676,2.125,27,7.505668135584798,False
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576532597614,1.5714285714285714,32,3.6859608876626897,False
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709061221,3.125,17,4.071911329802662,False
34,19,Rural,Regular,51,4.2,Night,Premium,166,754.2344800100251,1.7894736842105263,15,4.543581204879669,False
40,15,Urban,Regular,90,3.62,Night,Premium,42,211.52772882563164,2.6666666666666665,25,5.0363744958483725,False
26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.75927538572495,3.7142857142857144,19,2.861858853327484,False
81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.10747354764283,1.9285714285714286,39,3.491648373354103,False
80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.6962129956236,1.4285714285714286,24,4.969679371991247,False
64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961300692,3.3684210526315788,45,4.286487696667071,False
45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026111729,2.5,27,2.5779500191998004,False
84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062051633,1.7142857142857142,35,3.6392416265125154,False
34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.11580585015537,2.125,18,3.1625355467758642,False
67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418774801069,2.09375,35,6.3480144421546685,False
93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.16906941399594,4.043478260869565,70,3.0893525553119674,True
100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003272621974,1.9607843137254901,49,3.4932621040696334,False
35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.96284065200393,1.5909090909090908,13,3.116357005433366,False
36,13,Rural,Silver,31,4.71,Night,Economy,71,221.55110013131713,2.769230769230769,23,3.1204380300185512,False
28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.1127009643968,1.5555555555555556,10,4.181989771373203,False
21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389036563,2.3333333333333335,12,3.0087281379968176,False
26,15,Urban,Regular,35,5.0,Morning,Premium,161,493.4068923175674,1.7333333333333334,11,3.06463908271781,False
97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.6333560141928,4.619047619047619,76,4.474904344909154,True
26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572085631501,1.7333333333333334,11,4.211445664111989,False
91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523523879646,1.625,35,3.823523523879646,False
65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891064527985,1.3541666666666667,17,4.097065046091418,False
88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016246966075,3.142857142857143,60,4.428676928351136,False
82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273015673,6.3076923076923075,69,3.4894373466322115,True
65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.51960241928145,1.625,25,4.070409937349433,False
41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784001519046,6.833333333333333,35,4.47588945468355,True
85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928860981053,2.361111111111111,49,3.333505829592798,False
35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133394836575,2.6923076923076925,22,3.272186446060833,False
83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,111.179341237614,2.8620689655172415,54,4.833884401635391,False
91,31,Urban,Regular,12,4.39,Night,Economy,39,163.21458328772866,2.935483870967742,60,4.1849893150699655,False
44,28,Rural,Regular,31,4.92,Night,Premium,132,402.85698948061395,1.5714285714285714,16,3.051946890004651,False
96,12,Suburban,Gold,15,4.97,Night,Economy,90,289.2351908680133,8.0,84,3.2137243429779256,True
77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,150.53929481479082,1.673913043478261,31,6.021571792591633,False
91,80,Rural,Gold,74,4.74,Night,Economy,46,194.93555934032696,1.1375,11,4.237729550876673,False
93,42,Rural,Silver,75,4.66,Morning,Economy,160,674.6485035775572,2.2142857142857144,51,4.216553147359733,False
41,9,Rural,Silver,73,3.51,Morning,Economy,150,551.5572340398235,4.555555555555555,32,3.6770482269321563,True
61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,132.2147645898824,1.3863636363636365,17,2.542591626728508,False
83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,70.11182411078714,8.3,73,3.048340178729876,True
59,22,Rural,Regular,79,4.38,Morning,Premium,93,346.2847096470098,2.6818181818181817,37,3.7234915015807504,False
42,31,Suburban,Gold,62,4.95,Night,Premium,13,102.04473025177862,1.3548387096774193,11,7.849594634752202,False
81,16,Suburban,Regular,73,4.89,Night,Economy,125,494.1401793052489,5.0625,65,3.953121434441991,True
72,19,Rural,Gold,89,4.74,Morning,Premium,45,183.658314681842,3.789473684210526,53,4.081295881818711,False
43,9,Rural,Silver,2,4.12,Morning,Economy,126,436.5576476487414,4.777777777777778,34,3.4647432353074716,True
74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,31.362081322241885,2.242424242424242,41,3.1362081322241884,False
68,45,Rural,Silver,65,4.19,Evening,Economy,112,323.4791093139413,1.511111111111111,23,2.8882063331601904,False
36,13,Urban,Silver,84,4.88,Evening,Premium,140,505.3840569466695,2.769230769230769,23,3.6098861210476394,False
51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,320.8576215627125,10.2,46,3.487582843072962,True
63,23,Urban,Silver,48,4.09,Evening,Economy,49,214.5660524456202,2.739130434782609,40,4.378899029502453,False
96,29,Urban,Regular,84,3.65,Night,Economy,176,758.5015334295354,3.310344827586207,67,4.309667803576906,False
94,59,Suburban,Regular,84,4.38,Morning,Premium,175,665.7295341217325,1.5932203389830508,35,3.8041687664099,False
74,32,Suburban,Regular,2,4.7,Evening,Premium,38,171.06636292972274,2.3125,42,4.501746392887441,False
91,13,Rural,Silver,32,3.6,Morning,Premium,160,647.3526381087524,7.0,78,4.045953988179702,True
69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,608.1282399929386,5.75,57,3.8489129113477123,True
51,20,Rural,Silver,57,3.68,Night,Economy,67,246.92292493661097,2.55,31,3.685416790098671,False
45,17,Rural,Gold,10,4.93,Night,Premium,148,430.06653050329265,2.6470588235294117,28,2.9058549358330583,False
92,34,Suburban,Regular,98,3.99,Night,Economy,140,396.6387527092545,2.7058823529411766,58,2.8331339479232462,False
69,36,Suburban,Gold,55,4.74,Morning,Economy,109,436.0114486061054,1.9166666666666667,33,4.0001050330835355,False
56,14,Suburban,Silver,30,3.67,Night,Economy,48,202.9454568505992,4.0,42,4.22803035105415,True
43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,731.7816872483901,1.6538461538461537,17,4.181609641419372,False
86,48,Urban,Silver,37,4.15,Night,Economy,84,216.05054809363543,1.7916666666666667,38,2.5720303344480406,False
61,34,Urban,Gold,82,3.99,Night,Premium,10,83.86835620425342,1.7941176470588236,27,8.386835620425341,False
50,36,Suburban,Gold,18,4.61,Night,Economy,145,572.2420492964254,1.3888888888888888,14,3.9464968916994856,False
73,34,Urban,Regular,95,4.31,Morning,Premium,21,118.8070474355678,2.1470588235294117,39,5.657478449312753,False
76,7,Urban,Gold,76,4.35,Morning,Economy,72,245.8935711917164,10.857142857142858,69,3.415188488773839,True
87,41,Urban,Regular,87,4.36,Night,Economy,87,387.1117403297744,2.1219512195121952,46,4.449560233675568,False
53,33,Rural,Regular,40,3.8,Morning,Premium,139,507.9505746530285,1.606060606060606,20,3.65432068095704,False
71,8,Suburban,Silver,57,3.68,Night,Economy,75,249.302974601016,8.875,63,3.32403966134688,True
32,5,Rural,Gold,80,3.55,Night,Economy,14,45.91711193197189,6.4,27,3.2797937094265635,True
91,30,Suburban,Gold,34,3.69,Afternoon,Economy,96,424.6120578300381,3.033333333333333,61,4.423042269062897,False
47,37,Suburban,Gold,64,3.75,Morning,Economy,31,85.97357530080251,1.2702702702702702,10,2.7733411387355646,False
23,13,Rural,Silver,42,4.55,Night,Economy,87,328.9669925908357,1.7692307692307692,10,3.781229799894663,False
57,20,Rural,Regular,92,3.74,Morning,Economy,53,172.62943414987132,2.85,37,3.2571591349032323,False
48,17,Suburban,Silver,2,4.09,Evening,Economy,85,261.9435328532634,2.823529411764706,31,3.0816886218030985,False
22,5,Urban,Gold,39,4.92,Evening,Economy,56,199.0416803252397,4.4,17,3.554315720093566,True
60,19,Urban,Silver,37,4.22,Evening,Economy,68,232.28345491474457,3.1578947368421053,41,3.4159331605109493,False
94,42,Rural,Regular,0,4.23,Morning,Premium,36,185.311838106628,2.238095238095238,52,5.147551058517444,False
43,6,Suburban,Silver,34,4.4,Morning,Premium,24,153.76143970087224,7.166666666666667,37,6.40672665420301,True
97,18,Suburban,Regular,53,4.25,Night,Premium,26,126.4771352873347,5.388888888888889,79,4.864505203359027,True
47,17,Rural,Silver,7,4.8,Morning,Economy,173,609.5038276051239,2.764705882352941,30,3.523143512168346,False
39,28,Urban,Silver,72,3.76,Afternoon,Premium,87,287.1624375675698,1.3928571428571428,11,3.3007176731904573,False
50,39,Suburban,Regular,94,3.81,Evening,Premium,139,406.32480651562713,1.2820512820512822,11,2.9232000468750154,False
35,17,Urban,Regular,78,4.4,Evening,Premium,61,249.03711265544783,2.0588235294117645,18,4.082575617302424,False
28,8,Suburban,Regular,69,3.86,Evening,Premium,175,620.9016915662245,3.5,20,3.548009666092711,False
51,32,Rural,Regular,98,4.44,Morning,Premium,51,267.0607016773296,1.59375,19,5.236484346614305,False
54,12,Suburban,Silver,84,4.98,Evening,Premium,172,715.7547930992089,4.5,42,4.161365076158191,True
65,10,Urban,Regular,77,4.36,Afternoon,Economy,170,430.385487919734,6.5,55,2.5316793407043177,True
61,26,Rural,Gold,21,3.85,Morning,Premium,126,604.273047008686,2.3461538461538463,35,4.79581783340227,False
46,9,Suburban,Silver,67,4.22,Evening,Premium,47,243.5250631593867,5.111111111111111,37,5.181384322540143,True
73,50,Urban,Regular,7,4.22,Night,Economy,45,176.2144067384048,1.46,23,3.9158757052978843,False
86,49,Urban,Regular,99,3.51,Night,Economy,130,471.4796320940979,1.7551020408163265,37,3.62676640072383,False
75,7,Suburban,Gold,100,4.13,Morning,Economy,134,453.3769493913552,10.714285714285714,68,3.3834100700847403,True
39,29,Suburban,Silver,12,4.24,Evening,Economy,97,251.1073064574406,1.3448275862068966,10,2.588735118117944,False
33,6,Rural,Gold,90,4.81,Night,Premium,139,521.8019208244536,5.5,27,3.7539706534133357,True
40,29,Suburban,Silver,6,4.94,Night,Premium,71,346.4926515319707,1.3793103448275863,11,4.8801781905911366,False
54,35,Suburban,Silver,66,4.4,Night,Economy,77,234.0714535105622,1.542857142857143,19,3.039889006630678,False
53,26,Urban,Gold,54,4.6,Night,Premium,52,184.02445130071476,2.0384615384615383,27,3.538931755782976,False
81,34,Urban,Silver,98,3.55,Afternoon,Premium,164,554.8869659163038,2.3823529411764706,47,3.3834571092457546,False
45,20,Urban,Regular,80,4.73,Morning,Economy,63,192.61977241404605,2.25,25,3.0574567049848578,False
20,9,Urban,Silver,77,3.91,Evening,Economy,89,227.796524806166,2.2222222222222223,11,2.5595115146760223,False
47,22,Rural,Silver,11,4.8,Afternoon,Premium,119,416.601648993299,2.1363636363636362,25,3.500854193221,False
33,18,Urban,Gold,90,3.61,Evening,Premium,146,671.7128294096442,1.8333333333333333,15,4.600772804175645,False
78,57,Rural,Silver,5,4.82,Morning,Premium,127,552.6397714448676,1.368421052631579,21,4.351494263345415,False
26,12,Rural,Silver,9,3.75,Afternoon,Economy,115,321.37240510655704,2.1666666666666665,14,2.794542653100496,False
62,21,Rural,Regular,61,4.57,Night,Economy,56,215.4338699200544,2.9523809523809526,41,3.847033391429543,False
84,59,Suburban,Silver,67,4.27,Morning,Premium,164,758.9961232252967,1.423728813559322,25,4.628025141617663,False
49,8,Urban,Regular,1,4.06,Afternoon,Premium,157,694.4247148756359,6.125,41,4.42308735589577,True
34,22,Suburban,Gold,34,3.64,Morning,Economy,176,617.3632185255483,1.5454545454545454,12,3.5077455598042517,False
49,30,Rural,Silver,86,3.62,Afternoon,Premium,69,328.63536897966003,1.6333333333333333,19,4.762831434487826,False
83,50,Rural,Regular,7,3.66,Evening,Premium,100,376.3000600585162,1.66,33,3.763000600585162,False
88,5,Urban,Silver,89,3.59,Night,Economy,27,70.20380336705749,17.6,83,2.6001408654465736,True
90,71,Suburban,Gold,88,3.84,Morning,Economy,167,451.6848649701074,1.267605633802817,19,2.704699790240164,False
65,5,Rural,Silver,24,3.54,Night,Economy,119,301.40392677127403,13.0,60,2.5328061073216306,True
73,28,Urban,Silver,22,4.57,Afternoon,Economy,53,153.39607111804412,2.607142857142857,45,2.894265492793285,False
85,62,Suburban,Silver,54,3.78,Morning,Economy,114,339.66230419418656,1.3709677419354838,23,2.979493896440233,False
65,27,Rural,Gold,62,3.54,Night,Premium,162,733.4425366578176,2.4074074074074074,38,4.527423065788998,False
74,42,Urban,Gold,88,3.5,Evening,Economy,77,203.8363809804033,1.7619047619047619,32,2.647225727018225,False
41,7,Rural,Gold,68,4.3,Evening,Premium,66,284.5088586099128,5.857142857142857,34,4.310740281968376,True
79,23,Urban,Gold,88,3.88,Night,Economy,164,492.11345835908634,3.4347826086956523,56,3.0006918192627214,False
53,7,Urban,Silver,64,4.55,Night,Premium,10,86.19117981050438,7.571428571428571,46,8.619117981050438,True
35,14,Urban,Silver,74,5.0,Night,Premium,175,727.8809447636283,2.5,21,4.159319684363591,False
53,40,Rural,Gold,79,3.66,Evening,Premium,30,158.65264164620277,1.325,13,5.288421388206759,False
36,23,Urban,Silver,42,4.66,Morning,Economy,14,44.52503661261306,1.565217391304348,13,3.1803597580437897,False
38,25,Urban,Regular,2,4.24,Morning,Premium,128,452.4258268814717,1.52,13,3.534576772511498,False
52,36,Rural,Silver,1,4.52,Morning,Premium,36,152.64047921471024,1.4444444444444444,16,4.2400133115197285,False
91,64,Suburban,Regular,26,4.56,Morning,Premium,96,420.2245689053783,1.421875,27,4.377339259431024,False
87,5,Urban,Silver,59,4.32,Night,Economy,42,151.35930066309265,17.4,82,3.6037928729307773,True
96,20,Suburban,Gold,88,3.6,Evening,Premium,71,242.27196569085137,4.8,76,3.4122812069133994,True
83,59,Urban,Gold,8,4.85,Morning,Economy,31,119.0485543701777,1.4067796610169492,24,3.840275947425087,False
48,23,Rural,Gold,0,4.46,Afternoon,Economy,174,472.56954081275165,2.0869565217391304,25,2.7159169012227107,False
65,19,Suburban,Silver,24,4.59,Evening,Economy,96,334.6493506052282,3.4210526315789473,46,3.4859307354711273,False
79,29,Suburban,Silver,0,4.86,Morning,Economy,127,406.08552566041345,2.7241379310344827,50,3.1975238240977437,False
100,22,Suburban,Silver,45,4.23,Night,Premium,141,551.365137615676,4.545454545454546,78,3.910391046919688,True
73,63,Suburban,Silver,25,4.19,Afternoon,Economy,129,534.0181945871103,1.1587301587301588,10,4.139675927031863,False
79,67,Rural,Gold,56,4.01,Evening,Premium,151,501.2363000548165,1.1791044776119404,12,3.3194456957272616,False
88,55,Rural,Regular,56,4.0,Night,Premium,26,159.60691863182956,1.6,33,6.138727639685753,False
76,34,Suburban,Silver,10,4.92,Morning,Economy,103,359.8010509571677,2.235294117647059,42,3.4932140869627935,False
